    1.4602	        0.8687		    0.5116
    1.4614	        1.2206		    0.5030
    1.4277	        0.2582		    0.2383
    1.4641	        0.9857		    0.5380
    1.4644	        1.1034		    0.5350
    1.4325	        0.3647		    0.2810
    1.4320	        1.8248		    0.1802
    1.4386	        0.4730		    0.3346
    1.4359	        1.7210		    0.2414
    1.4413	        1.6143		    0.3039
    1.4451	        0.5831		    0.3852
    1.4816	        0.2567		    0.2387
    1.4475	        1.5048		    0.3655
    1.4518	        0.6957		    0.4347
    1.4835	        1.8262		    0.1709
    1.4536	        1.3926		    0.4183
    1.4866	        0.3622		    0.2896
    1.4581	        0.8106		    0.4813
    1.4889	        1.7232		    0.2413
    1.4593	        1.2786		    0.4684
    1.4630	        0.9267		    0.5142
    1.4941	        0.4701		    0.3488
    1.4650	        1.0445		    0.5292
    1.4635	        1.1624		    0.5042
    1.4953	        1.6168		    0.3132
    1.5012	        0.5807		    0.4046
    1.5028	        1.5074		    0.3830
    1.5093	        0.6935		    0.4569
    1.5106	        1.3951		    0.4387
    1.4781	        0.2049		    0.2103
    1.5166	        0.8087		    0.5094
    1.5173	        1.2802		    0.4970
    1.4831	        0.3086		    0.2499
    1.4815	        1.8760		    0.1283
    1.5221	        0.9260		    0.5491
    1.4858	        1.7757		    0.1992
    1.4898	        0.4160		    0.3054
    1.5227	        1.1632		    0.5426
    1.5245	        1.0446		    0.5634
    1.4920	        1.6702		    0.2662
    1.5296	        0.2029		    0.2010
    1.4974	        0.5252		    0.3661
    1.5310	        1.8787		    0.1132
    1.4994	        1.5622		    0.3395
    1.5362	        0.3065		    0.2512
    1.5052	        0.6364		    0.4188
    1.5369	        1.7784		    0.1925
    1.5071	        1.4518		    0.4027
    1.5130	        0.7505		    0.4753
    1.5440	        0.4129		    0.3111
    1.5144	        1.3379		    0.4618
